,Complex,EnergyComplex,EnergyFragment1,EnergyFragment2,ReactionEnergy,Relativity,TransitionMetal,Ligand,MWPrecision
0,Cr(CO)5-THF,-1853.7298136695185,-1621.2545266568704,-232.4443151480576,-0.030971864590497944,ZORA,Cr,THF,1e-06
1,Cr(CO)5-THF,-1843.0208823621238,-1610.7302490657717,-232.25949103842677,-0.031142257925324657,,Cr,THF,1e-06
2,Fe-Pincer-MeOH,-3063.948528457401,-2948.1724313389677,-115.75292944968429,-0.02316766874913867,ZORA,Fe,MeOH,1e-06
3,Fe-Pincer-MeOH,-3046.433023466562,-2930.7674994382614,-115.64249456675422,-0.023029461546528296,,Fe,MeOH,1e-06
4,Ni(CO)3-NHC1,-2172.455630631203,-1867.6258559505152,-304.76978832563293,-0.05998635505477523,ZORA,Ni,NHC1,1e-06
5,Ni(CO)3-NHC1,-2152.652468652643,-1848.0450602825242,-304.54911000018353,-0.058298369935414485,,Ni,NHC1,1e-06
